Question id,The Question,Answer,Diagram link,Correct answers,Gold standard answers,Answers given,Precision,Recall,F-measure,Avg Precision,Avg Recall,Avg F-measure,,,Percentage,Total number of questions,Total number of diagrams
8,How many movies did Park Chan-wook direct?,17,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FPark_Chan-wook_films,17,17,17,1,1,1,1,1,1,,F-measure = 1,54.28571429,35,131
,,17,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fq1,17,17,17,1,1,1,,,,,19,,,
,,17,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F8_-_kolchin,17,17,17,1,1,1,,,,,,,,
,,17,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F8,17,17,17,1,1,1,,,,,F-measure = 0,,,
24,How many people live in Poland?,,,0,1,0,0,0,0,0.25,0.25,0.25,,1,2.857142857,,
,,?,,0,1,0,0,0,0,,,,,,,,
,,No population property,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F24_PolandFail,0,1,1,0,0,0,,,,,F-measure > 0.5,,,
,,38483957,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fpoland,1,1,1,1,1,1,,,,,29,82.85714286,,
86,Give me all South American countries.,12,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FSA,12,12,12,1,1,1,0.5,0.5,0.5,,,,,
,,?,,0,12,0,0,0,0,,,,,,,,
,,11,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F86_southAmericaCountries,12,12,12,1,1,1,,,,,,,,
,,?,,0,12,0,0,0,0,,,,,,,,
46,Who discovered Ceres?,Guiseppe Piazzi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F46_-_kolchin,1,1,1,1,1,1,1,1,1,,,,,
,,Giuzeppe Piazzi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fceres,1,1,1,1,1,1,,,,,,,,
,,Giuseppe Piazzi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F46_CeresDiscoverer,1,1,1,1,1,1,,,,,,,,
,,Guiseppe Piazzi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fdiscovered_Ceres,1,1,1,1,1,1,,,,,,,,
11,What is the name of the school where Obama's wife studied?,Whitney M. Young Magnet High School,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F11_-_kolchin,1,3,1,1,0.3333333333,0.5,1,0.5,0.65,,,,,
,,Harvard Law School,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fmo,2,3,2,1,0.6666666667,0.8,,,,,,,,
,,Harward,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F11,2,3,2,1,0.6666666667,0.8,,,,,,,,
,,Whitney M Young Magnet High School,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F11_obamas,1,3,1,1,0.3333333333,0.5,,,,,,,,
13,What is the capital of Cameroon?,Yaounde,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fyau,1,1,1,1,1,1,1,1,1,,,,,
,,Yaoundé,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F13,1,1,1,1,1,1,,,,,,,,
,,Yaounde,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F13_cameroon_capital,1,1,1,1,1,1,,,,,,,,
,,Yaoundé,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FCameroon_capital,1,1,1,1,1,1,,,,,,,,
25,To which party does the mayor of Paris belong?,Socialist Party,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F33-kolchin,1,1,3,0.3333333333,1,0.5,0.5833333333,0.75,0.625,,,,,
,,?,,0,1,0,0,0,0,,,,,,,,
,,Socialists party,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F25_parisMayor,1,1,1,1,1,1,,,,,,,,
,,socialist party,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fparis_mayor,1,1,1,1,1,1,,,,,,,,
